,CountryRegionName,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,YearlyIncome,BikeBuyer,Year_of_Birth
54,3,5,1,2,2,1,0,0,73381,0,1938
55,2,1,3,2,1,1,1,0,106720,1,1963
56,5,4,4,1,1,1,2,0,25595,0,1972
57,1,5,5,1,1,1,1,4,116098,1,1970
58,2,5,3,2,2,1,0,0,109145,0,1971
59,6,3,4,2,1,0,1,0,41956,0,1973
60,2,1,3,2,2,1,2,2,100090,1,1963
61,2,3,2,1,1,1,2,0,47284,1,1974
62,2,4,1,1,1,1,2,0,48422,1,1980
63,2,5,5,1,1,1,2,0,105671,1,1937
64,1,1,3,1,1,0,1,0,90449,0,1964
65,6,2,1,2,1,1,2,2,45043,1,1970
66,1,1,3,1,2,0,2,0,88843,0,1963
67,2,1,2,1,2,1,1,0,43797,0,1953
68,6,2,3,1,2,1,2,2,115688,1,1953
69,4,1,2,2,2,1,0,4,118085,1,1965
70,5,1,3,1,2,1,0,0,57561,0,1966
71,2,2,3,1,2,1,3,2,100244,1,1962
72,2,1,3,1,1,1,1,0,56248,1,1967
73,5,5,1,1,2,1,0,0,57669,0,1960
74,1,5,5,2,2,1,0,0,140123,0,1969
75,2,3,2,2,1,0,2,0,51777,1,1980
76,6,2,4,2,2,1,0,0,17598,0,1943
77,1,1,3,2,1,0,1,0,95764,1,1964
78,3,1,5,1,2,1,3,5,137761,1,1953
79,1,2,2,1,1,0,1,0,59605,1,1956
80,5,4,2,2,1,1,4,1,108237,0,1948
81,1,1,3,2,1,0,3,0,88306,0,1975
82,1,2,5,2,2,1,3,5,170456,1,1973
83,2,1,5,1,2,0,2,0,81879,0,1943
84,2,5,5,1,1,0,2,2,152919,1,1964
85,6,2,1,1,1,1,1,0,32469,1,1974
86,2,2,3,1,2,1,3,4,110487,1,1962
87,1,1,3,2,2,1,3,5,103293,1,1963
88,5,5,2,2,1,0,0,0,100635,0,1969
89,5,1,5,1,2,0,2,5,134474,1,1953
90,2,1,3,1,1,1,1,0,49195,0,1960
91,2,2,3,2,2,1,4,4,122205,1,1962
92,3,1,2,2,2,1,0,0,66592,0,1964
93,2,2,1,1,2,1,1,0,41673,0,1957
94,1,1,3,2,1,0,1,0,96122,1,1965
95,2,1,5,1,1,1,0,1,96275,0,1947
96,1,1,3,2,1,1,1,0,122554,1,1959
97,4,2,3,1,1,1,3,4,96344,1,1962
98,6,2,1,1,1,1,1,2,37034,1,1971
99,2,3,2,2,2,0,2,0,61159,0,1956
100,6,4,4,1,1,1,2,2,11995,0,1964
101,2,2,2,2,2,1,1,0,98614,0,1960
102,4,1,5,2,1,1,1,4,119527,1,1968
103,5,2,3,2,2,1,2,2,126257,0,1953
104,2,1,3,2,1,1,1,0,102939,1,1962
105,2,3,1,2,1,1,2,0,67848,0,1955
106,3,1,4,1,1,1,0,0,11149,0,1958
107,2,1,5,2,2,1,3,2,158802,1,1964
108,2,5,5,2,2,0,3,3,183167,0,1936
109,2,5,2,1,1,1,0,0,92218,1,1959
110,2,1,5,2,2,1,3,2,163260,1,1965
111,3,1,2,1,2,1,0,0,54685,0,1963
112,2,2,2,1,2,1,1,0,90281,0,1958
113,4,5,3,2,2,1,0,0,108206,0,1969
114,5,1,2,2,2,1,1,0,70277,1,1962
115,2,1,3,1,1,1,2,2,96672,0,1963
116,2,1,5,1,1,0,1,0,87974,0,1973
117,2,5,5,2,2,1,4,3,162163,0,1936
118,2,5,3,1,1,1,0,0,92452,0,1971
119,1,1,3,1,1,1,3,0,78308,0,1976
120,5,3,4,2,1,0,1,0,43338,1,1972
121,6,3,4,2,1,1,0,2,11610,1,1966
122,1,4,1,1,2,1,2,1,23052,0,1949
123,6,5,4,1,1,0,0,0,35642,0,1970
124,2,1,5,2,1,1,2,0,102881,0,1940
125,1,1,3,1,1,0,1,0,88445,0,1964
126,2,4,1,2,1,0,4,0,21956,0,1945
127,5,1,1,2,1,0,0,1,59688,0,1968
128,2,5,5,2,2,1,2,0,111521,0,1943
129,3,4,4,2,1,1,2,0,26678,0,1973
130,6,4,4,1,1,1,2,2,19318,1,1963
131,6,4,4,1,1,0,2,0,27861,1,1980
132,2,5,3,1,1,1,2,5,80963,1,1969
133,2,5,2,2,2,1,0,0,104670,0,1966
134,5,1,3,2,2,1,0,0,79357,0,1966
135,2,3,2,1,1,0,2,0,47416,1,1978
136,4,1,5,1,2,1,2,0,90912,0,1944
137,2,2,3,2,1,1,2,1,96441,1,1949
138,1,1,3,1,2,1,4,5,83835,0,1967
139,5,4,4,2,1,1,2,3,25742,1,1964
140,2,3,2,2,1,1,1,0,35645,1,1975
141,1,2,2,2,1,1,1,0,80270,0,1962
142,3,2,3,1,2,1,3,4,138522,1,1955
143,1,2,2,1,1,1,1,0,65957,0,1961
144,2,2,2,1,2,1,1,0,40290,0,1974
145,2,3,3,2,1,1,2,1,94276,1,1952
146,1,2,2,2,2,1,1,0,96380,0,1960
147,5,2,3,2,2,1,4,4,162082,1,1955
148,5,4,4,2,1,0,2,0,23300,1,1980
149,5,1,5,1,1,1,2,5,141365,1,1953
150,2,4,2,2,1,0,2,0,91543,0,1954
151,2,2,2,2,1,0,1,0,60263,0,1967
152,2,3,2,2,2,1,3,4,41412,1,1972
153,3,4,4,2,1,0,2,0,11799,0,1973
154,1,1,3,1,2,1,1,0,108046,0,1959
155,2,1,2,1,2,1,1,1,60613,0,1970
156,2,2,3,2,2,1,1,2,80422,0,1950
157,4,2,1,1,2,1,1,0,51517,0,1956
158,6,2,1,2,1,1,1,2,62227,1,1971
159,2,2,3,1,2,1,4,1,95451,0,1965
160,4,5,3,2,2,1,0,0,124064,0,1970
161,2,1,2,1,1,1,2,3,103784,1,1965
162,4,2,1,2,1,1,1,0,48943,0,1958
163,5,2,4,2,1,0,1,1,22115,0,1967
164,4,4,1,1,1,0,2,0,39895,0,1977
165,3,3,4,1,1,0,1,1,18410,1,1966
166,6,2,4,1,2,1,1,1,26637,0,1968
167,2,1,5,2,1,1,3,0,143157,1,1980
168,5,2,4,2,1,0,0,1,23127,1,1960
169,2,5,2,2,1,1,0,0,101564,1,1966
170,2,1,2,1,1,1,1,2,64147,1,1967
171,2,1,5,2,2,1,3,3,162504,1,1961
172,4,5,2,1,2,1,0,1,64950,0,1972
173,2,5,2,1,1,1,0,0,62076,1,1973
174,2,2,2,2,1,0,3,4,115135,1,1968
175,1,5,5,1,2,1,0,0,110801,0,1969
176,4,1,5,1,2,1,2,0,63297,0,1941
177,3,1,1,1,2,1,0,0,44544,0,1967
178,3,1,1,1,2,1,0,0,53567,1,1968
179,5,3,4,1,1,1,1,0,37987,1,1971
180,1,1,3,2,1,1,2,0,120831,0,1975
181,3,1,5,1,1,0,4,4,134983,1,1946
182,2,1,5,2,2,1,4,1,173815,1,1963
183,2,1,5,2,2,1,1,3,157190,1,1963
184,1,4,1,1,2,0,2,0,42331,0,1954
185,2,2,2,2,1,0,1,0,71870,0,1974
186,2,3,3,2,1,1,2,0,80266,0,1956
187,1,1,3,2,1,0,4,0,126067,1,1971
188,1,1,3,1,2,1,4,5,107911,1,1965
189,1,1,3,2,1,0,3,0,129416,1,1974
190,4,1,2,1,1,0,2,2,44552,1,1964
191,2,2,3,1,1,1,2,1,77732,0,1950
192,3,2,1,1,1,1,1,0,42052,0,1962
193,5,2,3,2,2,1,2,2,121668,1,1953
194,2,3,4,1,2,1,2,1,15663,0,1953
195,3,1,2,2,2,1,1,0,69125,0,1931
196,2,4,2,1,1,0,2,0,82182,0,1957
197,6,2,1,2,1,1,2,2,51923,1,1964
198,2,3,2,2,2,1,2,0,45270,1,1976
199,2,1,2,2,2,1,2,2,88694,1,1964
200,3,3,3,2,1,0,2,5,168094,1,1954
201,2,1,3,2,1,0,1,0,99569,1,1968
202,2,3,2,1,2,1,2,3,54274,1,1962
203,2,5,3,1,2,1,0,0,95791,0,1972
204,2,2,3,2,2,1,0,1,105179,0,1949
205,2,5,5,1,1,0,4,0,151318,0,1967
206,3,5,2,1,1,1,0,0,78764,1,1966
207,2,5,3,2,2,1,2,5,111820,1,1969
208,6,2,1,2,1,0,2,2,33177,1,1970
209,4,1,2,1,2,1,0,1,45678,0,1970
210,2,2,3,2,2,1,4,4,127971,1,1960
211,5,1,3,2,2,1,0,0,56552,1,1966
212,1,1,1,2,1,0,0,0,19865,0,1978
213,2,2,2,2,1,0,1,0,45866,0,1978
214,3,5,1,2,2,1,0,0,73382,0,1960
215,2,5,2,2,2,1,0,1,108745,0,1971
216,2,3,3,2,2,1,4,3,171234,1,1962
217,1,1,3,1,1,1,0,0,100745,1,1966
218,3,2,5,2,2,1,3,5,167161,1,1950
219,5,1,3,2,2,1,0,0,77700,1,1965
220,5,3,5,1,1,1,3,5,122319,1,1949
221,1,1,3,2,2,1,0,0,128035,1,1966
222,2,5,2,1,2,1,0,0,69526,0,1930
223,5,2,1,2,1,1,2,2,54338,1,1964
224,5,2,5,2,1,1,4,4,133180,1,1950
225,2,3,2,1,1,0,2,0,41965,1,1975
226,3,2,1,2,1,1,2,3,49096,1,1979
227,1,2,2,1,1,1,1,0,98011,0,1957
228,2,1,2,2,2,0,2,4,83903,1,1964
229,2,1,3,2,1,0,1,0,75245,1,1964
230,6,2,1,2,1,1,1,0,60338,1,1975
231,2,2,3,1,1,1,2,2,107768,1,1963
232,5,2,4,2,2,1,0,0,22541,0,1941
233,2,1,5,2,2,1,4,2,170626,1,1963
234,1,3,4,1,1,0,0,1,28149,1,1977
235,1,3,4,1,1,0,2,0,17956,0,1977
236,2,1,2,2,2,1,1,1,67295,0,1970
237,2,4,2,2,1,0,2,0,117545,0,1954
238,6,2,4,1,2,1,0,0,18376,0,1943
239,2,5,3,2,1,0,1,0,126541,1,1967
240,1,1,3,1,1,0,1,0,111414,1,1966
241,2,1,3,2,2,1,1,0,101282,1,1958
242,5,4,4,2,1,0,2,0,21723,1,1974
243,5,2,1,2,1,0,1,0,59534,1,1976
244,4,5,2,1,1,0,0,0,105264,1,1958
245,3,1,1,1,1,1,0,0,54295,1,1943
246,4,1,2,2,1,0,0,2,66765,1,1969
247,2,5,5,1,1,0,2,0,85604,0,1937
248,3,1,1,2,2,1,0,0,52152,1,1960
249,2,3,2,2,2,1,2,2,54676,1,1962
250,5,2,1,1,1,0,1,0,43363,1,1973
251,1,1,5,2,1,0,1,0,134249,1,1958
252,2,1,2,1,1,1,2,3,93730,1,1965
253,2,1,2,1,1,1,2,3,111349,1,1965
254,5,2,1,1,1,1,1,2,55198,1,1971
255,6,2,1,1,1,1,2,2,48361,1,1964
256,5,2,3,2,1,0,3,4,158206,1,1955
257,2,1,5,1,1,1,2,1,87968,0,1948
258,2,1,2,2,2,1,0,3,106429,1,1966
259,1,3,4,2,2,1,0,1,11411,0,1977
260,4,2,3,2,1,1,1,3,110791,1,1964
261,2,2,3,2,2,1,1,1,105915,0,1949
262,5,3,4,1,2,1,0,3,22448,0,1968
263,2,5,3,1,1,0,0,2,97290,0,1963
264,5,2,1,1,2,0,2,2,54621,0,1964
265,5,3,3,1,2,1,2,1,99356,0,1952
266,6,4,4,1,1,0,2,0,17433,1,1971
267,2,2,1,2,1,1,0,3,63457,1,1975
268,4,4,2,1,2,1,2,1,37184,0,1950
269,1,1,3,1,1,1,1,0,80857,1,1964
270,2,2,2,1,1,0,2,0,81492,1,1975
271,5,2,3,2,2,1,2,4,160747,1,1957
272,4,5,3,1,2,1,3,5,90140,1,1959
273,2,3,3,2,2,1,2,0,74606,0,1948
274,2,3,3,2,2,0,2,0,92889,0,1955
275,2,5,3,2,1,1,0,0,147590,1,1959
276,4,2,3,1,1,0,2,0,83280,0,1973
277,2,5,5,2,1,0,3,3,190466,0,1935
278,3,1,1,1,2,1,0,0,33782,0,1940
279,6,1,1,2,2,1,0,0,30779,0,1941
280,1,1,3,2,2,1,1,2,113770,1,1965
281,2,4,2,1,2,0,2,0,72410,0,1954
282,2,1,2,2,2,1,2,3,81393,1,1965
283,2,2,3,2,2,1,1,2,121777,1,1963
284,2,5,3,1,2,1,3,5,101871,1,1959
285,2,1,2,1,1,1,1,3,100022,0,1965
286,3,2,1,1,1,0,1,0,50476,0,1980
287,2,3,2,1,1,1,2,0,33843,0,1974
288,1,1,3,1,1,0,1,0,92527,0,1965
289,2,1,5,2,2,1,1,1,130392,0,1957
290,1,1,3,1,1,1,1,0,74732,0,1964
291,2,2,3,2,1,1,2,2,75108,1,1952
292,2,1,5,2,2,1,4,2,168959,1,1965
293,5,2,4,2,1,1,0,2,49333,1,1964
294,2,1,5,2,2,1,0,3,136771,1,1963
295,2,5,5,1,2,1,2,0,143874,1,1965
296,2,1,2,1,1,1,1,2,86566,1,1967
297,2,2,2,1,2,1,3,4,98483,1,1968
298,5,3,3,1,2,1,2,1,99755,0,1952
299,2,1,5,2,2,0,2,0,107267,0,1940
300,4,1,2,1,1,1,3,5,95785,1,1964
301,5,1,2,2,2,1,0,0,63165,1,1965
302,2,1,3,1,2,1,1,0,79458,1,1958
303,5,2,1,1,2,0,1,2,60783,0,1965
304,1,3,5,2,2,0,2,5,117255,1,1973
305,5,2,3,2,1,0,4,4,168213,1,1954
306,4,2,3,1,1,1,2,0,76874,1,1973
307,4,5,3,2,1,1,0,0,112993,0,1970
308,6,2,1,2,1,1,2,2,50970,1,1963
309,1,2,2,2,2,1,1,0,89729,0,1961
310,2,2,2,2,1,1,2,0,90634,1,1977
311,1,1,3,2,2,1,2,0,124018,0,1975
312,3,1,1,2,1,0,0,0,26227,0,1938
313,1,1,3,2,1,0,3,0,135217,1,1975
314,4,1,5,2,2,1,2,0,133053,0,1940
315,6,2,1,1,1,1,1,2,41083,1,1965
316,1,1,3,2,1,0,1,0,114095,1,1964
317,5,1,2,2,2,1,1,0,52041,1,1962
318,1,3,2,2,2,1,2,0,59577,0,1952
319,2,5,5,2,2,1,3,1,183594,1,1966
320,2,5,5,2,2,1,2,0,88955,0,1936
321,3,5,1,1,1,1,0,0,65068,0,1959
322,2,3,2,2,1,0,2,0,48806,0,1974
323,1,4,5,1,2,1,4,5,144467,1,1971
324,2,2,1,1,1,1,0,3,31635,0,1975
325,4,3,2,2,1,0,2,0,46358,1,1976
326,2,3,3,2,2,0,2,0,47652,0,1944
327,2,5,2,2,2,0,0,0,130384,0,1966
328,2,5,3,2,2,1,0,0,120288,1,1970
329,5,2,1,1,1,1,1,2,56511,1,1971
330,3,1,1,1,2,1,0,0,38923,0,1941
331,1,5,5,2,2,1,0,0,156160,1,1969
332,3,2,3,1,1,0,4,3,123234,1,1958
333,3,2,3,1,2,1,2,2,102807,0,1953
334,5,3,5,2,1,1,4,4,121610,1,1947
335,1,1,3,2,2,1,2,3,94798,1,1964
336,2,1,5,2,1,1,3,0,99404,0,1946
337,1,1,3,2,2,1,3,4,106313,1,1964
338,2,1,2,1,1,1,2,3,102019,1,1965
339,3,4,4,2,2,1,2,0,15283,0,1976
340,2,2,3,2,2,1,3,4,112709,1,1961
341,1,1,3,1,2,1,4,5,83337,1,1967
342,2,2,3,2,1,0,2,0,122699,1,1963
343,3,1,1,2,2,1,0,0,47277,0,1943
344,1,1,3,2,2,1,2,3,97095,1,1964
345,5,3,3,1,2,0,4,4,136970,0,1956
346,3,2,4,2,2,1,1,1,15619,0,1968
347,1,1,3,1,2,1,3,0,114895,0,1975
348,6,4,4,1,1,1,2,3,22711,1,1965
349,2,5,2,1,2,1,1,0,79095,0,1931
350,2,2,3,2,1,1,0,3,120827,1,1962
351,3,2,3,2,2,1,2,5,159044,1,1953
352,1,1,3,2,2,1,1,3,103752,1,1965
353,6,2,1,2,1,1,1,2,57659,1,1965
354,2,2,2,2,2,0,1,0,126700,0,1958
355,3,3,4,2,1,1,1,2,16814,1,1968
356,1,4,3,2,1,0,4,0,96193,1,1974
357,2,1,5,1,1,1,1,0,106524,1,1968
358,1,1,5,2,1,0,2,2,164799,1,1959
359,4,2,3,2,2,1,1,3,121854,1,1964
360,3,3,3,2,2,1,2,4,153767,1,1956
361,3,1,5,1,2,1,3,4,140503,0,1944
362,2,3,2,1,2,1,2,0,42832,0,1980
363,4,5,3,2,1,0,0,0,114179,0,1970
364,2,2,2,2,2,1,1,0,92118,1,1961
365,3,1,2,2,2,1,0,1,71043,0,1975
366,3,3,3,2,2,1,2,1,128112,1,1954
367,5,3,4,2,1,0,1,0,49776,1,1972
368,1,1,3,2,1,0,1,0,99295,1,1968
369,2,3,2,1,1,1,3,5,56320,1,1967
370,1,3,4,2,2,1,0,1,10708,0,1976
371,2,2,3,2,2,1,2,3,126185,1,1964
372,6,4,4,2,1,1,2,0,17984,1,1972
373,6,2,1,2,2,0,2,2,60204,1,1964
374,1,2,2,2,2,1,2,0,94235,0,1954
375,2,3,2,2,1,0,2,0,51934,1,1979
376,2,3,3,1,2,1,2,1,66984,0,1952
377,5,5,1,2,2,1,0,0,65878,0,1961
378,2,2,3,2,1,1,2,1,90543,1,1949
379,1,4,3,1,2,1,4,5,126862,1,1973
380,2,2,1,2,1,1,1,0,63463,0,1959
381,2,5,5,2,1,1,2,0,92499,0,1937
382,1,5,5,2,1,1,3,5,138049,1,1966
383,1,1,3,2,1,0,3,0,115989,1,1975
384,6,4,4,2,1,0,2,0,18454,0,1974
385,2,2,3,1,1,0,2,0,71273,1,1974
386,1,1,3,1,1,0,1,3,80464,1,1965
387,1,2,2,2,2,1,3,4,79220,0,1960
388,5,4,4,2,2,1,1,0,22456,0,1911
389,4,2,3,1,2,1,3,4,81064,1,1962
390,2,1,5,1,2,1,1,1,97381,0,1947
391,2,5,2,1,1,1,0,0,57048,1,1973
392,2,1,5,1,1,0,1,0,98648,1,1973
393,2,3,3,1,2,1,2,0,73726,0,1956
394,2,2,3,2,1,1,2,1,86059,1,1952
395,1,1,3,1,2,1,4,5,118399,1,1965
396,5,3,3,2,1,1,2,1,122356,1,1952
397,1,2,4,2,1,0,0,0,25281,0,1977
398,5,4,4,2,1,1,2,0,13155,0,1971
399,2,2,3,2,2,1,0,3,130537,0,1960
400,2,1,5,1,2,1,0,3,125879,1,1962
401,2,5,3,1,2,1,0,4,84265,1,1958
402,2,3,2,2,2,1,3,3,58150,1,1961
403,6,3,4,2,1,0,1,1,10945,1,1960
404,2,5,2,1,1,1,0,0,62559,0,1972
405,1,1,5,1,2,0,2,0,46065,0,1942
406,3,3,3,1,2,1,4,4,142320,1,1954
407,4,1,3,2,2,0,1,0,69342,0,1960
408,1,2,4,1,2,0,1,0,16652,0,1978
409,2,2,2,2,1,0,2,0,87044,1,1973
410,4,1,2,1,2,1,1,2,81441,0,1968
411,4,3,2,1,2,0,2,2,49979,0,1961
412,2,1,5,1,1,1,2,0,113432,0,1942
413,2,5,3,2,2,0,2,5,120086,1,1969
414,1,5,5,1,1,1,1,0,99195,0,1942
415,3,1,4,2,2,1,0,0,35455,1,1958
416,4,5,2,2,1,1,0,0,108540,1,1959
417,3,1,1,1,2,1,0,0,49009,0,1968
418,5,2,1,2,1,1,1,4,60501,1,1978
419,2,4,2,1,1,1,2,0,96529,0,1955
420,2,1,2,1,2,1,0,3,115131,0,1966
421,2,2,2,2,2,1,2,0,51671,1,1977
422,5,4,4,1,1,0,2,0,13548,0,1971
423,2,2,3,2,1,1,2,1,80283,1,1949
424,2,2,2,2,2,1,1,0,74241,1,1962
425,2,1,5,1,2,1,1,3,144666,1,1961
426,6,4,4,1,2,1,2,2,21856,0,1963
427,2,5,2,2,2,1,0,0,103577,0,1971
428,2,1,5,2,2,1,2,0,99847,0,1944
429,3,3,4,1,1,0,1,0,39049,1,1973
430,4,1,5,2,2,1,2,0,63687,0,1941
431,5,4,4,1,1,0,2,0,11772,0,1974
432,6,3,4,1,1,0,1,0,18489,0,1976
433,1,1,3,2,1,1,2,4,108992,1,1964
434,2,1,5,1,2,1,1,3,138108,0,1961
435,2,1,2,1,2,1,0,1,41783,0,1970
436,3,2,4,2,2,1,1,0,34372,0,1954
437,3,3,3,2,1,1,1,3,89067,1,1953
438,6,2,1,1,1,1,1,2,48594,1,1971
439,2,2,2,1,2,1,2,0,66876,0,1978
440,2,1,5,1,1,1,3,0,82015,0,1946
441,2,5,3,2,2,1,2,5,114291,1,1969
442,2,2,2,1,1,1,1,0,31000,1,1979
443,2,5,3,2,2,1,3,5,125170,1,1969
444,5,1,5,1,1,1,4,4,141459,1,1946
445,2,3,3,2,2,1,2,3,132762,1,1960
446,2,1,2,2,2,1,2,4,68419,1,1964
447,5,2,3,1,2,1,4,4,102837,1,1952
448,1,1,3,2,2,1,4,5,102770,1,1968
449,5,2,3,2,2,1,4,4,172072,1,1955
450,1,3,2,2,1,1,2,0,108498,0,1956
451,2,3,2,2,1,1,2,0,44974,0,1976
452,1,1,3,2,2,1,2,0,134159,0,1975
453,5,1,1,1,2,1,0,0,41863,0,1960
454,6,1,1,2,1,0,0,1,62450,1,1967
455,6,1,2,1,2,1,2,1,45586,0,1964
456,2,1,5,2,1,1,2,0,102603,0,1944
457,1,1,3,1,1,1,4,0,105334,0,1971
458,2,3,3,1,2,0,2,0,72421,1,1956
459,1,1,3,2,1,0,3,0,138571,1,1972
460,4,2,3,2,2,0,2,0,53385,0,1952
461,3,3,4,2,1,0,1,0,49108,1,1971
462,3,5,1,1,2,1,0,0,43837,0,1959
463,1,1,3,2,1,0,1,0,96830,1,1963
464,2,2,3,2,1,1,2,0,62308,0,1952
465,2,4,1,1,1,1,2,0,10502,0,1954
466,2,2,1,2,2,1,1,0,43885,0,1955
467,1,2,2,2,1,1,1,0,77609,0,1957
468,2,1,5,2,2,1,2,1,122389,0,1948
469,2,3,2,2,2,1,3,3,59476,1,1961
470,2,5,2,2,1,0,0,0,58987,0,1973
471,2,4,1,1,1,1,2,0,34226,0,1956
472,6,3,4,1,1,0,1,1,18910,1,1959
473,1,1,3,2,1,1,3,0,102206,1,1975
474,2,2,1,1,2,1,1,0,44093,0,1957
475,6,4,4,2,1,0,2,0,20198,0,1980
476,2,1,5,2,2,0,0,1,127800,0,1957
477,2,2,3,1,2,1,3,5,106128,1,1964
478,2,5,3,2,2,1,0,0,100817,0,1972
479,1,1,3,2,1,0,3,0,135593,0,1974
480,4,3,3,1,1,0,2,0,49084,1,1974
481,2,3,3,2,1,1,2,0,98809,1,1955
482,6,1,2,2,2,1,1,1,59449,0,1972
483,1,1,3,2,2,1,4,5,104256,1,1967
484,1,2,1,1,1,0,2,0,41591,0,1937
485,1,1,3,2,2,1,3,5,122661,1,1966
486,2,5,3,2,2,1,0,0,115574,1,1971
487,2,1,5,2,2,0,3,0,98162,0,1946
488,5,1,5,1,1,1,4,4,154212,1,1946
489,2,2,3,2,1,1,3,2,135623,1,1962
490,1,2,2,1,1,1,1,0,69199,1,1961
491,1,2,2,2,1,1,2,0,117408,0,1955
492,1,5,5,2,2,0,2,5,148489,1,1967
493,1,2,2,1,2,1,3,4,65690,1,1961
494,5,3,4,2,1,1,1,0,19972,0,1977
495,1,4,1,2,1,1,2,1,18108,0,1948
496,4,2,3,1,1,1,2,3,104132,1,1963
497,2,5,2,1,2,1,0,0,98746,0,1966
498,2,1,3,2,2,1,1,3,92266,1,1959
499,1,2,2,2,2,1,2,0,110712,1,1954
500,1,2,2,2,2,1,1,0,93478,1,1961
501,4,2,3,1,1,0,2,4,98936,1,1962
502,1,1,3,1,1,1,3,5,73322,1,1967
503,6,3,5,2,1,1,3,1,127148,0,1950
504,5,2,4,2,1,0,0,1,23014,1,1960
505,5,2,1,1,1,0,1,0,49020,0,1975
506,4,1,2,2,2,1,3,3,106947,1,1965
507,3,4,4,2,1,1,1,0,12154,0,1975
508,2,1,2,1,2,1,1,0,55254,0,1953
509,6,3,4,1,1,0,1,0,17194,0,1976
510,2,2,2,1,2,1,2,0,78170,0,1977
511,1,3,4,1,1,0,2,0,31289,0,1977
512,5,2,1,1,1,0,1,0,44875,0,1975
513,2,2,3,1,2,1,1,2,106073,1,1963
514,2,5,5,1,1,1,2,0,101534,0,1939
515,2,3,3,1,2,1,4,3,128422,1,1961
516,6,2,4,1,2,1,1,1,15522,1,1968
517,3,2,3,2,2,0,3,5,153520,1,1952
518,4,2,2,1,1,1,2,0,29141,0,1975
519,2,2,2,2,2,1,2,0,107689,0,1978
520,2,3,2,2,2,0,2,0,52579,0,1956
521,1,1,3,2,2,1,3,5,88379,1,1967
522,6,1,3,2,2,1,0,0,66313,1,1966
523,2,5,2,1,2,1,0,0,101420,0,1971
524,4,5,2,2,2,1,0,1,77270,1,1972
525,2,2,3,1,1,0,2,0,75509,0,1974
526,1,2,2,2,1,1,1,0,77571,1,1961
527,2,5,3,2,1,1,0,0,123358,1,1969
528,1,1,3,2,2,1,4,5,95113,1,1968
529,2,2,2,2,2,1,1,0,90902,1,1962
530,3,5,1,1,1,0,0,0,65193,0,1960
